source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0
product,VE.0100.010,auto paint,aerosol,0.5,2,0,0,0,1,0,1,1,0,0,0
product,VE.0100.020,body repair,gel,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,VE.0100.020,body repair,liquid,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,VE.0100.020,body repair,paste,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,VE.0100.030,detailing,aerosol,0.25,4,0,0,0,1,0,1,1,0,0,0
product,VE.0100.030,detailing,gel,0.25,4,0,0,0,1,0,0,1,0,0,0
product,VE.0100.030,detailing,liquid,0.25,4,0,0,0,1,0,0,1,0,0,0
product,VE.0100.030,detailing,pump spray,0.25,4,0,0,0,1,0,1,1,0,0,0
product,VE.0100.040,windows/windshield,aerosol,0.333333333,3,0,0,0,1,0,1,1,0,0,0
product,VE.0100.040,windows/windshield,liquid,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,VE.0100.040,windows/windshield,pump spray,0.333333333,3,0,0,0,1,0,1,1,0,0,0
product,VE.0200.010,boat cleaner - deck care,aerosol,0.333333333,3,0,0,0,1,0,1,1,0,0,0
product,VE.0200.010,boat cleaner - deck care,liquid,0.333333333,3,0,0,0,1,0,0,1,0,0,0
product,VE.0200.010,boat cleaner - deck care,pump spray,0.333333333,3,0,0,0,1,0,1,1,0,0,0
product,VE.0200.020,boat cleaner - general,aerosol,0.2,5,0,0,0,1,0,1,1,0,0,0
product,VE.0200.020,boat cleaner - general,gel,0.2,5,0,0,0,1,0,0,1,0,0,0
product,VE.0200.020,boat cleaner - general,liquid,0.2,5,0,0,0,1,0,0,1,0,0,0
product,VE.0200.020,boat cleaner - general,paste,0.2,5,0,0,0,1,0,0,1,0,0,0
product,VE.0200.020,boat cleaner - general,pump spray,0.2,5,0,0,0,1,0,1,1,0,0,0
product,VE.0200.030,boat cleaner - hull care,aerosol,0.2,5,0,0,0,1,0,1,1,0,0,0
product,VE.0200.030,boat cleaner - hull care,gel,0.2,5,0,0,0,1,0,0,1,0,0,0
product,VE.0200.030,boat cleaner - hull care,liquid,0.2,5,0,0,0,1,0,0,1,0,0,0
product,VE.0200.030,boat cleaner - hull care,paste,0.2,5,0,0,0,1,0,0,1,0,0,0
product,VE.0200.030,boat cleaner - hull care,pump spray,0.2,5,0,0,0,1,0,1,1,0,0,0
product,VE.0200.040,boat engine fluids,liquid,1,1,0,0,0,1,0,0,1,0,0,0
