source.type,pucid,product,form,prevalence,freq,indoor,dietary,migration,dirderm,diringest,dirinhaer,dirinhvap,downthedrain,indir.fug,indir.y0,row.num
product,PC.1200.040,face scrub,gel,0.5,2,1,0,0,1,0,0,1,1,1,0,377
product,PC.1200.040,face scrub,paste,0.5,2,1,0,0,1,0,0,1,1,1,0,378
product,PC.1200.050,face wash,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,379
product,PC.1200.050,face wash,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,380
product,PC.1200.050,face wash,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,381
product,PC.1500.010,foot care,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,382
product,PC.1500.010,foot care,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,383
product,PC.1500.010,foot care,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,384
product,PC.1600.010,fragrance,aerosol,0.2,5,1,0,0,1,0,1,1,1,1,0,385
product,PC.1600.010,fragrance,pump spray,0.2,5,1,0,0,1,0,1,1,1,1,0,386
product,PC.1600.010,fragrance,gel,0.2,5,1,0,0,1,0,0,1,1,1,0,387
product,PC.1600.010,fragrance,liquid,0.2,5,1,0,0,1,0,0,1,1,1,0,388
product,PC.1600.010,fragrance,paste,0.2,5,1,0,0,1,0,0,1,1,1,0,389
product,PC.1700.010,hand/body lotion,gel,0.333333333,3,1,0,0,1,0,0,1,1,1,0,390
product,PC.1700.010,hand/body lotion,liquid,0.333333333,3,1,0,0,1,0,0,1,1,1,0,391
product,PC.1700.010,hand/body lotion,paste,0.333333333,3,1,0,0,1,0,0,1,1,1,0,392
product,PC.1800.010,glitter,gel,0.5,2,1,0,0,1,0,0,1,1,1,0,393
product,PC.1800.010,glitter,paste,0.5,2,1,0,0,1,0,0,1,1,1,0,394
product,PC.1900.010,hair bleach,gel,0.25,4,1,0,0,1,0,0,1,1,1,0,395
product,PC.1900.010,hair bleach,liquid,0.25,4,1,0,0,1,0,0,1,1,1,0,396
product,PC.1900.010,hair bleach,paste,0.25,4,1,0,0,1,0,0,1,1,1,0,397
